#Binding energies from Lotz tables 1 and 2 of Lotz W., 1967, JOSA, 57, 873. doi:10.1364/JOSA.57.000873. 1967JOSA...57..873L
28  108
#Z  K  L1  L2  L3  M1  M2  M3  M4  M5  N1  N2  N3  N4  N5  N6  N7  O1  O2  O3  O4  O5  O6  O7  P1  P2  P3  P4  Q1
27  7715.000  931.000  800.000  785.000  107.000  68.000  66.000  9.000  0.000  7.864  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
28  8338.000  1015.000  877.000  860.000  117.000  75.000  73.000  10.000  10.000  7.635  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
29  8986.000  1103.000  958.000  938.000  127.000  82.000  80.000  11.000  10.400  7.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
30  9663.000  1198.000  1047.000  1024.000  141.000  94.000  91.000  12.000  11.200  9.394  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
31  10371.000  1302.000  1146.000  1119.000  162.000  111.000  107.000  21.000  20.000  11.000  6.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
32  11107.000  1413.000  1251.000  1220.000  184.000  130.000  125.000  33.000  32.000  14.300  7.900  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
33  11871.000  1531.000  1362.000  1327.000  208.000  151.000  145.000  46.000  45.000  17.000  9.810  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
34  12662.000  1656.000  1479.000  1439.000  234.000  173.000  166.000  61.000  60.000  20.150  9.750  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
35  13481.000  1787.000  1602.000  1556.000  262.000  197.000  189.000  77.000  76.000  23.800  11.850  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
36  14327.000  1927.000  1731.000  1678.000  292.000  222.000  214.000  95.000  93.800  27.510  14.670  14.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
37  15203.000  2068.000  1867.000  1807.000  325.000  251.000  242.000  116.000  114.000  32.000  16.000  15.300  0.000  0.000  0.000  0.000  4.180  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
38  16108.000  2219.000  2010.000  1943.000  361.000  283.000  273.000  139.000  137.000  40.000  23.000  22.000  0.000  0.000  0.000  0.000  5.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
39  17041.000  2375.000  2158.000  2083.000  397.000  315.000  304.000  163.000  161.000  48.000  30.000  29.000  6.380  0.000  0.000  0.000  6.480  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
40  18002.000  2536.000  2311.000  2227.000  434.000  348.000  335.000  187.000  185.000  56.000  35.000  33.000  8.610  0.000  0.000  0.000  6.840  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
41  18990.000  2702.000  2469.000  2375.000  472.000  382.000  367.000  212.000  209.000  62.000  40.000  38.000  7.170  0.000  0.000  0.000  6.880  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
42  20006.000  2872.000  2632.000  2527.000  511.000  416.000  399.000  237.000  234.000  68.000  45.000  42.000  8.560  0.000  0.000  0.000  7.100  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
43  21050.000  3048.000  2800.000  2683.000  551.000  451.000  432.000  263.000  259.000  74.000  49.000  45.000  8.600  0.000  0.000  0.000  7.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
44  22123.000  3230.000  2973.000  2844.000  592.000  488.000  466.000  290.000  286.000  81.000  53.000  49.000  8.500  0.000  0.000  0.000  7.370  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
45  23225.000  3418.000  3152.000  3010.000  634.000  526.000  501.000  318.000  313.000  87.000  58.000  53.000  9.560  0.000  0.000  0.000  7.460  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
46  24357.000  3611.000  3337.000  3180.000  677.000  565.000  537.000  347.000  342.000  93.000  63.000  57.000  8.780  8.340  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
47  25520.000  3812.000  3530.000  3357.000  724.000  608.000  577.000  379.000  373.000  101.000  69.000  63.000  11.000  10.000  0.000  0.000  7.580  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
48  26715.000  4022.000  3732.000  3542.000  775.000  655.000  621.000  415.000  408.000  112.000  78.000  71.000  14.000  13.000  0.000  0.000  8.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
49  27944.000  4242.000  3943.000  3735.000  830.000  707.000  669.000  455.000  447.000  126.000  90.000  82.000  21.000  20.000  0.000  0.000  10.000  5.790  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
50  29204.000  4469.000  4160.000  3933.000  888.000  761.000  719.000  497.000  489.000  141.000  102.000  93.000  29.000  28.000  0.000  0.000  12.000  7.340  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
